2019-Nov-03 15:03:22.941624 INFO [daemon] fedoragold v1.1.5.1()
2019-Nov-03 15:03:22.941707 INFO [daemon] Module folder: ./fedoragold_daemon
2019-Nov-03 15:03:22.942233 INFO [daemon] Initializing p2p server...
2019-Nov-03 15:03:23.840815 INFO [node_server] Binding on 0.0.0.0:30158
2019-Nov-03 15:03:23.840899 INFO [node_server] Net service binded on 0.0.0.0:30158
2019-Nov-03 15:03:23.840921 INFO [node_server] Attempting to add IGD port mapping.
2019-Nov-03 15:03:27.851616 INFO [node_server] No IGD was found.
2019-Nov-03 15:03:44.981911 INFO [Blockchain] Height 166000 of 1308374
2019-Nov-03 15:03:45.114132 INFO [Blockchain] Height 167000 of 1308374
2019-Nov-03 15:03:45.243056 INFO [Blockchain] Height 168000 of 1308374
2019-Nov-03 15:03:45.376811 INFO [Blockchain] Height 169000 of 1308374
2019-Nov-03 15:03:45.505751 INFO [Blockchain] Height 170000 of 1308374
2019-Nov-03 15:03:45.634082 INFO [Blockchain] Height 171000 of 1308374
2019-Nov-03 15:03:45.768280 INFO [Blockchain] Height 172000 of 1308374
2019-Nov-03 15:03:45.899486 INFO [Blockchain] Height 173000 of 1308374
2019-Nov-03 15:03:46.024779 INFO [Blockchain] Height 174000 of 1308374
2019-Nov-03 15:03:46.138793 INFO [Blockchain] Height 175000 of 1308374
2019-Nov-03 15:03:46.261491 INFO [Blockchain] Height 176000 of 1308374
2019-Nov-03 15:03:46.382999 INFO [Blockchain] Height 177000 of 1308374
2019-Nov-03 15:03:46.512182 INFO [Blockchain] Height 178000 of 1308374
2019-Nov-03 15:03:46.626404 INFO [Blockchain] Height 179000 of 1308374
2019-Nov-03 15:03:46.771457 INFO [Blockchain] Height 180000 of 1308374
2019-Nov-03 15:03:46.875180 INFO [Blockchain] Height 181000 of 1308374
2019-Nov-03 15:03:46.984074 INFO [Blockchain] Height 182000 of 1308374
2019-Nov-03 15:03:47.114747 INFO [Blockchain] Height 183000 of 1308374
2019-Nov-03 15:03:47.236161 INFO [Blockchain] Height 184000 of 1308374
2019-Nov-03 15:03:47.373105 INFO [Blockchain] Height 185000 of 1308374
2019-Nov-03 15:03:47.493711 INFO [Blockchain] Height 186000 of 1308374
2019-Nov-03 15:03:47.693689 INFO [Blockchain] Height 187000 of 1308374
2019-Nov-03 15:03:47.923050 INFO [Blockchain] Height 188000 of 1308374
2019-Nov-03 15:03:48.054084 INFO [Blockchain] Height 189000 of 1308374
2019-Nov-03 15:03:48.179119 INFO [Blockchain] Height 190000 of 1308374
2019-Nov-03 15:03:48.305759 INFO [Blockchain] Height 191000 of 1308374
2019-Nov-03 15:03:48.439761 INFO [Blockchain] Height 192000 of 1308374
